surfaceComposition,CO2(g) + 0.5H2(g) + * -> CHO2*,CO2(g) + 0.5H2(g) + * -> COOH*,CO2(g) + 0.5H2(g) + * -> HCOO*,HCOO_minus_COOH_eV
Ag-fcc,,0.8054445482703159,-0.2784915868905955,-1.0839361351609114
Au-fcc,,0.6785064302675892,0.2562652595661348,-0.4222411707014544
Fe-NC,0.41181455775642917,,,
Pd-fcc,,-0.08135251732164761,-0.24054959624481853,-0.15919707892317092
Rh-fcc,,-0.44512179579760414,-0.8233222921844572,-0.37820049638685305
