phase_id,Name,Formula,Ga_percent,phase_label,stable_grid_fraction,stable_percent,T_min_stable_K,T_max_stable_K,log10_ratio_min_stable,log10_ratio_max_stable,min_G_eV_per_atom
1,Cu-bulk-Cu32,Cu32,0.0,0.0%_Cu32Ga0,0.3890794474830815,38.90794474830815,300.0,1100.0,-11.5,4.0,0.0
16,Cu-bulk-Cu4Ga28_a,Cu4Ga28,87.5,87.5%_Cu4Ga28,0.38296097153981645,38.29609715398165,385.0,1100.0,-16.0,-3.299999999999999,-4.038512182573822
21,Cu-bulk-CuGa2,Cu4Ga8,66.67,66.67%_Cu4Ga8,0.07654275207811873,7.654275207811873,330.0,1100.0,-16.0,-2.299999999999999,-0.37893529481599564
14,Cu-bulk-Cu9Ga4,Cu36Ga16,30.77,30.77%_Cu36Ga16,0.06164828033744322,6.164828033744322,300.0,1100.0,-16.0,-1.299999999999999,-0.12023948839028537
3,Cu-bulk-Cu6Ga2,Cu6Ga2,25.0,25.0%_Cu6Ga2,0.0470319211396434,4.70319211396434,300.0,1100.0,-14.2,-0.7999999999999989,-0.05033793080304372
13,Cu-bulk-CuGa,Cu5Ga5,50.0,50.0%_Cu5Ga5,0.014183739686659869,1.4183739686659869,320.0,1100.0,-16.0,-2.0999999999999996,-0.16318653010869877
6,Cu-bulk-Cu28Ga4,Cu28Ga4,12.5,12.5%_Cu28Ga4,0.010969994746763079,1.0969994746763079,300.0,1100.0,-12.2,-0.6999999999999993,-0.00675577741656791
24,Cu-bulk-Cu13Ga9,Cu26Ga18,40.91,40.91%_Cu26Ga18,0.009363122276814684,0.9363122276814684,315.0,1100.0,-16.0,-2.0,-0.13527228628759924
22,Cu-bulk-Cu30Ga2_b,Cu30Ga2,6.25,6.25%_Cu30Ga2,0.008219770711659096,0.8219770711659096,300.0,1100.0,-11.8,-0.5999999999999996,-0.0018849954083058756
