surfaceComposition,facet,reactionEnergy,adsorption_energy,adsorption_energy_delta_vs_reactionEnergy
CeO2-rocksalt,111,-0.45973467999999684,-0.4597346800000146,-1.7763568394002505e-14
CeO2-rocksalt-1Ovacancy,100,-2.8433598099999813,-2.843359809999999,-1.7763568394002505e-14
CeO2-rocksalt-1Ovacancy,110,-2.0674949300000094,-2.067494930000027,-1.7763568394002505e-14
CeO2-rocksalt-1Ovacancy,111,-0.8284287399999926,-0.8284287400000103,-1.7763568394002505e-14
CeO2-rocksalt-1Ovacancy,111,-1.0062551999999414,-1.0062551999999592,-1.7763568394002505e-14
CeO2-rocksalt-2Ovancies,111,-1.1215422999999305,-1.1215422999999483,-1.7763568394002505e-14
Ni-fcc,111,0.3247371700000059,0.32473717000000235,-3.552713678800501e-15
Ni-fcc,211,-0.16104926999997815,-0.1610492699999817,-3.552713678800501e-15
SmCeO2-rocksalt-1Ovacancy,100,-2.751133409999966,-2.7511334099999836,-1.7763568394002505e-14
