dataset,rows,unique_formulas,mean_fmax
bulk,29,24,0.006596551724137931
bulk_oxide,27,22,0.004540740740740741
cluster,7,1,0.007885714285714286
surface_100,36,30,0.007105555555555555
surface_110,56,37,0.007021428571428572
surface_111,74,53,0.006863513513513514
surface_211,38,29,0.007697368421052631
surface_all,7,1,0.007885714285714286
